Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Theft ,18-0523 ,Will Rice College ,11/18/2018 1:34 a.m. ,11/17/2018,5 p.m. ,Saturday,11/18/2018 5 p.m. ,Inactive 
Burglary (Clery) ,18-0525 ,Will Rice College ,11/22/2018 9:15 p.m. ,11/22/2018,6:50 p.m. ,Thursday,11/22/2018 9:05 p.m. ,Criminal Arrest 
Theft ,18-0526 ,Will Rice College ,11/22/2018 10:47 p.m. ,11/22/2018,6:30 p.m. ,Thursday,11/22/2018 9:30 p.m. ,Criminal Arrest 
Warrants ,18-0527 ,Wiess College ,11/23/2018 7:38 a.m. ,11/23/2018,7:38 a.m. ,Friday,11/23/2018 8:37 a.m. ,Criminal Arrest 
Fraud ,18-0528 ,Off Campus ,11/23/2018 6:10 p.m. ,11/23/2018,9:40 a.m. ,Friday,11/23/2018 6 p.m. ,Inactive 
Theft ,18-0529 ,Wiess College ,11/25/2018 7:37 p.m. ,11/25/2018,6:45 p.m. ,Sunday,11/25/2018 7:37 p.m. ,Criminal Arrest 
Theft ,18-0530 ,Will Rice College ,11/28/2018 12:09 a.m. ,11/27/2018,8:30 p.m. ,Tuesday,11/27/2018 11 p.m. ,Inactive 
Extortion ,18-0531 ,Rice Graduate Apartments ,11/29/2018 2:29 a.m. ,11/29/2018,1 a.m. ,Thursday,11/29/2018 2:28 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,18-0533 ,BRC ,12/01/2018 6:52 a.m. ,12/1/2018,6:53 a.m. ,Saturday,12/01/2018 11:44 a.m. ,Criminal Arrest 
Fraud ,18-0534 ,Herring Hall ,12/01/2018 2:52 p.m. ,12/1/2018,9:30 a.m. ,Saturday,12/01/2018 2:52 p.m. ,Inactive 
Theft ,18-0535 ,Hanszen College ,12/01/2018 11:12 a.m. ,11/30/2018,9 p.m. ,Friday,12/01/2018 9 a.m. ,Inactive 
Criminal Mischief ,18-0536 ,Oshman Engineering ,12/03/2018 10:12 a.m. ,12/2/2018,midnight ,Sunday,12/02/2018 midnight ,Unfounded 
Theft ,18-0538 ,Anderson Hall ,12/03/2018 8:22 p.m. ,12/3/2018,4:30 p.m. ,Monday,12/03/2018 7:30 p.m. ,Unfounded 
Criminal Mischief ,18-0539 ,Cambridge Building ,12/04/2018 7:26 a.m. ,12/3/2018,7:15 a.m. ,Monday,12/03/2018 4:20 p.m. ,Unfounded 
Credit Card Abuse ,18-0540 ,Off Campus ,12/04/2018 4 p.m. ,12/23/2017,midnight ,Saturday,11/30/2018 midnight ,Inactive 
Harassment ,18-0542 ,Off Campus ,12/06/2018 12:54 p.m. ,12/6/2018,10:20 a.m. ,Thursday,12/06/2018 2:17 p.m. ,Inactive 
Theft ,18-0543 ,Rice Memorial Center ,12/06/2018 2:55 p.m. ,12/6/2018,1:35 p.m. ,Thursday,12/06/2018 1:35 p.m. ,Unfounded 
Burglary (Clery) ,18-0546 ,Will Rice College ,12/08/2018 10:07 p.m. ,12/8/2018,9 p.m. ,Saturday,12/08/2018 10:15 p.m. ,Criminal Arrest 
Burglary (Clery) ,18-0547 ,Wiess College ,12/09/2018 2:14 a.m. ,12/8/2018,8 p.m. ,Saturday,12/08/2018 9 p.m. ,Criminal Arrest 
Theft ,18-0551 ,Seibel Servery ,12/10/2018 12:54 p.m. ,12/10/2018,11 a.m. ,Monday,12/10/2018 1 p.m. ,Criminal Arrest 
Failure to Stop and Give Information ,18-0553 ,North Colleges Lot ,12/12/2018 4:06 p.m. ,12/12/2018,1:30 p.m. ,Wednesday,12/12/2018 2 p.m. ,Inactive 
Criminal Trespass ,18-0554 ,Baker College ,12/12/2018 5:36 p.m. ,12/12/2018,5:36 p.m. ,Wednesday,12/12/2018 6:20 p.m. ,Criminal Arrest 
Theft ,18-0555 ,West Lot ,12/13/2018 1:12 p.m. ,12/1/2018,11 a.m. ,Saturday,12/01/2018 11 p.m. ,Inactive 
Warrants ,18-0558 ,Entrance #1 ,12/15/2018 7:35 a.m. ,12/15/2018,7:35 a.m. ,Saturday,12/15/2018 7:35 a.m. ,Criminal Arrest 
Theft ,18-0559 ,BRC ,12/18/2018 1:04 p.m. ,12/17/2018,10 a.m. ,Monday,12/17/2018 10:30 a.m. ,Inactive 
Theft ,18-0560 ,Jesse H. Jones School ,12/18/2018 2:40 p.m. ,12/18/2018,2 p.m. ,Tuesday,12/18/2018 2:01 p.m. ,Inactive 
Theft ,18-0562 ,Fondren Library ,12/20/2018 1:04 p.m. ,12/20/2018,8:30 a.m. ,Thursday,12/20/2018 11:30 a.m. ,Inactive 
Warrants ,18-0563 ,Off Campus ,12/21/2018 11:31 a.m. ,12/21/2018,11:30 a.m. ,Friday,12/21/2018 12:56 p.m. ,Criminal Arrest 
Drug/Narcotic Violations (Clery) ,18-0564 ,Off Campus ,12/21/2018 10:44 p.m. ,12/21/2018,10:43 p.m. ,Friday,12/21/2018 2:54 a.m. ,Criminal Arrest 
Warrants ,18-0565 ,Alumni Drive ,12/27/2018 10:11 a.m. ,12/27/2018,10:11 a.m. ,Thursday,12/27/2018 10:11 a.m. ,Criminal Arrest 
Assault ,18-0566 ,Off Campus ,12/28/2018 4:08 p.m. ,12/28/2018,4:08 p.m. ,Friday,12/28/2018 4:08 p.m. ,Criminal Arrest 
Theft ,18-0567 ,Intramural Field ,12/29/2018 8:16 p.m. ,12/29/2018,3 p.m. ,Saturday,12/29/2018 5:45 p.m. ,Inactive 
Warrants ,19-0002 ,Off Campus ,01/02/2019 8 a.m. ,1/2/2019,8 a.m. ,Wednesday,01/02/2019 8 a.m. ,Criminal Arrest 
Warrants ,19-0003 ,Abercrombie ,01/03/2019 2:58 a.m. ,1/3/2019,2:58 a.m. ,Thursday,01/03/2019 2:58 a.m. ,Criminal Arrest 
Warrants ,19-0004 ,Entrance #3 ,01/05/2019 9:48 a.m. ,1/5/2019,9:48 a.m. ,Saturday,01/05/2019 9:48 a.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,19-0005 ,Rice Village Apartments ,01/05/2019 1:17 p.m. ,1/4/2019,6 p.m. ,Friday,01/05/2019 1 p.m. ,Inactive 
Indecent Exposure ,19-0006 ,Off Campus ,01/07/2019 1:50 p.m. ,1/7/2019,1:40 p.m. ,Monday,01/07/2019 1:45 p.m. ,Criminal Arrest 
Burglary (Clery) ,19-0007 ,Duncan College ,01/06/2019 6:36 p.m. ,1/1/2019,4:07 p.m. ,Tuesday,01/05/2019 noon ,Inactive 
Theft ,19-0008 ,Rice Memorial Center ,01/07/2019 4:32 p.m. ,1/4/2019,5 p.m. ,Friday,01/06/2019 midnight ,Inactive 
Theft ,19-0009 ,Will Rice College ,01/08/2019 9:17 a.m. ,12/11/2018,midnight ,Tuesday,01/08/2019 9:30 a.m. ,Inactive 
Fraud ,19-0010 ,Jesse H. Jones School ,01/09/2019 11:41 a.m. ,1/8/2019,1:48 p.m. ,Tuesday,01/08/2019 10:46 p.m. ,Inactive 
Theft ,19-0011 ,Will Rice College ,01/10/2019 3:29 p.m. ,1/5/2019,8 p.m. ,Saturday,01/05/2019 8 p.m. ,Inactive 
Criminal Trespass ,19-0012 ,Willys Pub ,01/11/2019 12:13 a.m. ,1/11/2019,12:13 a.m. ,Friday,01/14/2019 12:20 a.m. ,Judicial Referral 
Theft ,19-0015 ,Will Rice College ,01/11/2019 1:58 p.m. ,12/9/2018,midnight ,Sunday,01/11/2019 midnight ,Inactive 
Alcohol Violations (Clery) ,19-0016 ,Will Rice College ,01/11/2019 9:59 p.m. ,1/11/2019,10 p.m. ,Friday,01/12/2019 2 a.m. ,Judicial Referral 
Driving While License is Invalid ,19-0017 ,Off Campus ,01/14/2019 3:56 p.m. ,1/14/2019,4:02 p.m. ,Monday,01/14/2019 4:02 p.m. ,Criminal Arrest 
Harassment ,19-0020 ,Rice Village Apartments ,01/12/2019 10:10 a.m. ,5/13/2018,midnight ,Sunday,01/12/2019 midnight ,Cleared 
Criminal Mischief ,19-0022 ,Greenbriar Lot ,01/17/2019 10:31 p.m. ,1/17/2019,10:25 p.m. ,Thursday,01/17/2019 10:25 p.m. ,Inactive 
Theft ,19-0023 ,Lovett College ,01/18/2019 1:22 p.m. ,1/16/2019,midnight ,Wednesday,01/16/2019 midnight ,Inactive 
Warrants ,19-0024 ,Entrance 17 ,01/20/2019 3:07 p.m. ,1/20/2019,3:07 p.m. ,Sunday,01/20/2019 3:07 p.m. ,Criminal Arrest 
Theft ,19-0025 ,Off Campus ,01/20/2019 4:29 p.m. ,1/18/2019,midnight ,Friday,01/20/2019 midnight ,Inactive 
Assault ,19-0026 ,Brown College ,01/21/2019 9:20 a.m. ,1/11/2019,8 a.m. ,Friday,01/20/2019 3:40 p.m. ,Cleared 
Theft ,19-0028 ,Sid Richardson College ,01/25/2019 4:35 p.m. ,1/24/2019,midnight ,Thursday,01/25/2019 midnight ,Inactive 
Failure to Stop and Give Information ,19-0029 ,South Colleges Lot ,01/25/2019 7:26 p.m. ,1/25/2019,9:55 a.m. ,Friday,01/25/2019 5:10 p.m. ,Inactive 
Indecent Exposure ,19-0030 ,Sid Richardson College ,01/26/2019 12:33 a.m. ,1/26/2019,12:33 a.m. ,Saturday,01/26/2019 12:33 a.m. ,Judicial Referral 
Criminal Mischief ,19-0031 ,West Lot ,01/27/2019 7:42 a.m. ,1/27/2019,7:52 a.m. ,Sunday,01/29/2019 2:56 p.m. ,Inactive 
Assault ,19-0032 ,Off Campus ,01/28/2019 12:27 a.m. ,1/28/2019,12:27 a.m. ,Monday,01/28/2019 1:46 a.m. ,Referred other jurisdiction 
Indecent Exposure ,19-0034 ,Off Campus ,01/28/2019 8:14 p.m. ,1/28/2019,8 p.m. ,Monday,01/28/2019 8:14 p.m. ,Inactive 
Theft ,19-0035 ,Rayzor Hall ,01/29/2019 7:54 a.m. ,1/28/2019,5:50 p.m. ,Monday,01/28/2019 6 p.m. ,Inactive 
Theft ,19-0036 ,McMurtry College ,01/29/2019 1:54 p.m. ,1/26/2019,4 p.m. ,Saturday,01/28/2019 8 p.m. ,Inactive 
Extortion ,19-0037 ,Baker College ,01/29/2019 4:19 p.m. ,1/28/2019,10 a.m. ,Monday,01/29/2019 5 p.m. ,Inactive 
Harassment ,19-0039 ,BRC ,01/30/2019 1:05 p.m. ,1/25/2019,midnight ,Friday,01/26/2019 midnight ,Inactive 
Theft from a Vehicle ,19-0040 ,Allen Center ,01/31/2019 10:03 a.m. ,12/16/2018,midnight ,Sunday,01/07/2019 midnight ,Inactive 
Harassment ,19-0041 ,Off Campus ,01/31/2019 11:55 a.m. ,1/10/2019,8 a.m. ,Thursday,01/31/2019 5 p.m. ,Inactive 
Fraud ,19-0042 ,Brown College ,01/31/2019 1:10 p.m. ,1/24/2019,7 p.m. ,Thursday,01/31/2019 1 p.m. ,Inactive 
Theft ,19-0043 ,Wiess College ,02/01/2019 9:43 a.m. ,1/31/2019,5 p.m. ,Thursday,02/01/2019 8 a.m. ,Inactive 
Criminal Trespass ,19-0044 ,Lovett College ,02/01/2019 6:17 p.m. ,2/1/2019,6:17 p.m. ,Friday,02/01/2019 8 p.m. ,Criminal Arrest 
Failure to Stop and Give Information ,19-0045 ,Rice Village Apartments ,02/01/2019 5:54 p.m. ,1/31/2019,midnight ,Thursday,02/01/2019 5:50 p.m. ,Inactive 
Drug/Narcotic Violations (Clery) ,19-0048 ,Lovett College ,02/03/2019 12:14 a.m. ,2/3/2019,12:14 a.m. ,Sunday,02/03/2019 12:31 a.m. ,Judicial Referral 
Warrants ,19-0049 ,Off Campus ,02/03/2019 1:47 p.m. ,2/3/2019,1:47 p.m. ,Sunday,02/03/2019 3 p.m. ,Criminal Arrest 
Assault ,19-0050 ,Tudor Field House ,02/04/2019 1:18 p.m. ,11/17/2018,4:30 p.m. ,Saturday,11/17/2018 5 p.m. ,Inactive 
Assault ,19-0051 ,Off Campus ,02/04/2019 5:12 p.m. ,2/4/2019,6:30 a.m. ,Monday,02/04/2019 7 a.m. ,Cleared 
Theft ,19-0052 ,Rice Memorial Center ,02/05/2019 3:53 p.m. ,2/5/2019,9:48 a.m. ,Tuesday,02/05/2019 9:48 a.m. ,Inactive 
Theft ,19-0053 ,Hanszen College ,02/05/2019 6:48 p.m. ,2/1/2019,midnight ,Friday,02/05/2019 midnight ,Unfounded 
Public Intoxication ,19-0055 ,Rayzor Hall ,02/07/2019 1:57 a.m. ,2/7/2019,1:57 a.m. ,Thursday,02/07/2019 2:08 a.m. ,Judicial Referral 
Driving While License is Invalid ,19-0057 ,Entrance #1 ,02/10/2019 9:36 a.m. ,2/10/2019,9:36 a.m. ,Sunday,02/10/2019 9:36 a.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,19-0059 ,North Colleges Lot ,02/11/2019 2:13 a.m. ,2/8/2019,4 p.m. ,Friday,02/11/2019 2:13 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,19-0060 ,Cambridge Building ,02/11/2019 11:45 a.m. ,2/8/2019,4 p.m. ,Friday,02/11/2019 7 a.m. ,Criminal Arrest 
Evading Detention ,19-0061 ,Cambridge Building ,02/11/2019 4:50 p.m. ,2/11/2019,4:50 p.m. ,Monday,02/11/2019 4:50 p.m. ,Criminal Arrest 
Theft ,19-0062 ,Facilities &amp; Engineering ,02/12/2019 8:57 a.m. ,1/16/2019,3 p.m. ,Wednesday,02/07/2019 7:30 a.m. ,Unfounded 
Warrants ,19-0063 ,Off Campus ,02/15/2019 1:33 a.m. ,2/15/2019,1:33 a.m. ,Friday,02/15/2019 2:44 a.m. ,Criminal Arrest 
Theft ,19-0064 ,BRC ,02/15/2019 11:05 a.m. ,2/15/2019,5:40 a.m. ,Friday,02/15/2019 10:50 a.m. ,Inactive 
Assault ,19-0065 ,Tudor Field House ,02/16/2019 4:31 p.m. ,2/16/2019,3:30 p.m. ,Saturday,02/16/2019 4:30 p.m. ,Inactive 
Harassment ,19-0066 ,Off Campus ,02/16/2019 4:23 p.m. ,1/19/2019,8 a.m. ,Saturday,01/19/2019 11:59 p.m. ,Cleared 
Unauthorized Use of a Motor Vehicle (Clery) ,19-0067 ,Brian Patterson Complex ,02/17/2019 2:12 a.m. ,2/17/2019,1:50 a.m. ,Sunday,02/17/2019 2:02 a.m. ,Inactive 
Warrants ,19-0068 ,Off Campus ,02/17/2019 3:22 p.m. ,2/17/2019,3:22 p.m. ,Sunday,02/17/2019 4 p.m. ,Criminal Arrest 
Disorderly Conduct ,19-0069 ,Cambridge Building ,02/18/2019 9:55 a.m. ,2/16/2019,1:45 p.m. ,Saturday,02/16/2019 1:48 p.m. ,Inactive 
Drug/Narcotic Violations (Clery) ,19-0070 ,Hanszen College ,02/19/2019 12:09 a.m. ,2/19/2019,12:09 a.m. ,Tuesday,02/19/2019 12:32 a.m. ,Judicial Referral 
Criminal Mischief ,19-0071 ,Entrance 27B ,02/21/2019 6:15 a.m. ,2/20/2019,midnight ,Wednesday,02/21/2019 6:10 a.m. ,Inactive 
Criminal Trespass ,19-0074 ,Central Plant ,02/24/2019 7:20 a.m. ,2/24/2019,7:20 a.m. ,Sunday,02/24/2019 7:20 a.m. ,County Citiation 
Criminal Mischief ,19-0075 ,Geology ,02/25/2019 9:04 a.m. ,2/22/2019,6:30 p.m. ,Friday,02/24/2019 8 a.m. ,Inactive 
Failure to Stop and Give Information ,19-0076 ,Off Campus ,02/25/2019 9:09 a.m. ,2/24/2019,1:47 p.m. ,Sunday,02/24/2019 1:47 p.m. ,Inactive 
Disorderly Conduct ,19-0077 ,Allen Center ,02/26/2019 10:44 a.m. ,2/26/2019,10:40 a.m. ,Tuesday,02/26/2019 10:50 a.m. ,Judicial Referral 
Theft ,19-0078 ,Sewall Hall ,02/26/2019 12:06 p.m. ,2/26/2019,11 a.m. ,Tuesday,02/26/2019 12:05 p.m. ,Inactive 
Theft ,19-0079 ,George R Brown Tennis ,02/26/2019 2:21 p.m. ,2/24/2019,8 p.m. ,Sunday,02/25/2019 11 a.m. ,Inactive 
Theft ,19-0080 ,Rice Memorial Center ,02/26/2019 2:49 p.m. ,2/22/2019,2 a.m. ,Friday,02/25/2019 2 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,19-0082 ,Brian Patterson Complex ,02/28/2019 4:33 p.m. ,2/24/2019,5:30 p.m. ,Sunday,02/28/2019 4:15 p.m. ,Inactive 
Warrants ,19-0084 ,Jesse H. Jones School ,03/02/2019 1:22 p.m. ,3/2/2019,1:22 p.m. ,Saturday,03/02/2019 1:55 p.m. ,Criminal Arrest 
Theft ,19-0085 ,Fondren Library ,03/03/2019 3:16 p.m. ,3/2/2019,noon ,Saturday,03/03/2019 3 p.m. ,Inactive 
Warrants ,19-0087 ,Laboratory Road ,03/04/2019 10:21 a.m. ,3/4/2019,10:21 a.m. ,Monday,03/04/2019 10:21 a.m. ,Criminal Arrest 
Driving While License is Invalid ,19-0088 ,Entrance #3 ,03/04/2019 11:18 a.m. ,3/4/2019,11:19 a.m. ,Monday,03/04/2019 11:50 a.m. ,Criminal Arrest 
Theft ,19-0089 ,Reckling Park ,03/04/2019 2:50 p.m. ,3/3/2019,5 a.m. ,Sunday,03/04/2019 6 a.m. ,Inactive 
Fraud ,19-0093 ,Hanszen College ,03/06/2019 2:50 p.m. ,3/5/2019,5 p.m. ,Tuesday,03/05/2019 11 p.m. ,Inactive 
Alcohol Violations (Clery) ,19-0094 ,Willys Pub ,03/08/2019 1:40 a.m. ,3/8/2019,12:01 a.m. ,Friday,03/08/2019 12:01 a.m. ,Citation - Judicial Referral 
Criminal Trespass ,19-0097 ,Naval ROTC ,03/15/2019 1:09 p.m. ,3/15/2019,1:09 p.m. ,Friday,03/15/2019 2:56 p.m. ,Criminal Arrest 
Warrants ,19-0099 ,Alumni Drive ,03/18/2019 3:02 p.m. ,3/18/2019,3 p.m. ,Monday,03/18/2019 3 p.m. ,Criminal Arrest 
Theft ,19-0100 ,Rice Village Apartments ,03/19/2019 11:31 a.m. ,2/21/2019,midnight ,Thursday,02/21/2019 midnight ,Inactive 
Theft ,19-0101 ,BRC ,03/20/2019 3:55 p.m. ,3/20/2019,midnight ,Wednesday,03/20/2019 3:50 p.m. ,Inactive 
Theft ,19-0102 ,North Colleges Lot ,03/21/2019 12:50 p.m. ,3/16/2019,8:30 p.m. ,Saturday,03/20/2019 5:30 p.m. ,Inactive 
Criminal Mischief ,19-0103 ,Entrance 17 ,03/23/2019 2:39 a.m. ,3/23/2019,midnight ,Saturday,03/23/2019 2:39 a.m. ,Inactive 
Evading Detention ,19-0104 ,Entrance #5 ,03/23/2019 10:47 a.m. ,3/23/2019,10:48 a.m. ,Saturday,03/23/2019 1:30 p.m. ,Criminal Arrest 
Evading Detention ,19-0105 ,Reckling Park ,03/25/2019 1:46 a.m. ,3/25/2019,1:46 a.m. ,Monday,03/25/2019 1:46 a.m. ,Cleared 
Driving While License is Invalid ,19-0106 ,West Lot ,03/25/2019 2:19 a.m. ,3/25/2019,2:19 a.m. ,Monday,03/25/2019 3 a.m. ,Criminal Arrest 
Failure to Stop and Give Information ,19-0107 ,Cambridge Building ,03/25/2019 5:28 p.m. ,3/25/2019,10:15 a.m. ,Monday,03/25/2019 5:15 p.m. ,Inactive 
Criminal Mischief ,19-0109 ,Reckling Park ,03/26/2019 4:42 p.m. ,3/25/2019,6 p.m. ,Monday,03/26/2019 8:30 a.m. ,Inactive 
Public Intoxication ,19-0112 ,Rice Stadium ,03/30/2019 12:51 p.m. ,3/30/2019,12:51 p.m. ,Saturday,03/30/2019 2:32 p.m. ,County Citiation 
Assault ,19-0113 ,Valhalla ,03/30/2019 6:27 p.m. ,3/30/2019,6:20 p.m. ,Saturday,03/30/2019 6:40 p.m. ,Cleared 
Sex Offenses (Forcible) (Clery) ,19-0114 ,Will Rice College ,03/31/2019 3:44 a.m. ,3/30/2019,midnight ,Saturday,03/30/2019 7:50 p.m. ,Inactive 
Criminal Mischief ,19-0115 ,Herzstein Hall ,04/01/2019 8:09 a.m. ,3/29/2019,5 p.m. ,Friday,04/01/2019 8 a.m. ,Inactive 
Assault ,19-0116 ,South Colleges Lot ,04/01/2019 3:11 p.m. ,4/1/2019,2:46 p.m. ,Monday,04/01/2019 4:25 p.m. ,Inactive 
Theft ,19-0117 ,Entrance #1 ,04/02/2019 1:05 p.m. ,4/2/2019,1:05 p.m. ,Tuesday,04/02/2019 1:05 p.m. ,Criminal Arrest 
Theft ,19-0119 ,Brochstein Pavilion ,04/03/2019 4:28 p.m. ,4/2/2019,5 p.m. ,Tuesday,04/03/2019 4 p.m. ,Inactive 
Criminal Mischief ,19-0123 ,Alumni Drive ,04/05/2019 1:56 a.m. ,4/4/2019,11 p.m. ,Thursday,04/05/2019 1:55 a.m. ,Inactive 
Failure to Stop and Render Aid ,19-0124 ,Entrance 17 ,04/04/2019 4:36 p.m. ,4/2/2019,10:30 a.m. ,Tuesday,04/02/2019 10:30 a.m. ,Inactive 
Criminal Mischief ,19-0128 ,Fondren Library ,04/08/2019 8:45 a.m. ,4/6/2019,midnight ,Saturday,04/07/2019 midnight ,Inactive 
Driving While License is Invalid ,19-0130 ,Entrance #1 ,04/09/2019 8:23 a.m. ,4/9/2019,8:25 a.m. ,Tuesday,04/09/2019 11:29 a.m. ,Criminal Arrest 
Warrants ,19-0131 ,Greenbriar Annex Building ,04/09/2019 8:27 a.m. ,4/9/2019,8:27 a.m. ,Tuesday,04/09/2019 8:27 a.m. ,Criminal Arrest 
Criminal Mischief ,19-0132 ,West Lot ,04/09/2019 9:06 a.m. ,4/4/2019,9 a.m. ,Thursday,04/04/2019 4 p.m. ,Inactive 
Failure to Stop and Give Information ,19-0133 ,North Colleges Lot ,04/09/2019 12:07 p.m. ,4/7/2019,11 p.m. ,Sunday,04/09/2019 noon ,Inactive 
Theft ,19-0134 ,West Lot ,04/10/2019 4:39 p.m. ,4/9/2019,10 p.m. ,Tuesday,04/10/2019 8:40 a.m. ,Inactive 
Warrants ,19-0136 ,Off Campus ,04/11/2019 9:38 p.m. ,4/11/2019,9:38 p.m. ,Thursday,04/11/2019 11:13 p.m. ,Criminal Arrest 
Failure to Stop and Give Information ,19-0138 ,Entrance #8 ,04/12/2019 9:56 p.m. ,4/12/2019,9:56 p.m. ,Friday,04/12/2019 10:39 p.m. ,Inactive 
Public Intoxication ,19-0140 ,North Annex Lot ,04/13/2019 2:25 a.m. ,4/13/2019,2:30 a.m. ,Saturday,04/13/2019 3:55 a.m. ,Criminal Arrest 
Failure to Stop and Give Information ,19-0141 ,North Colleges Lot ,04/13/2019 10:02 a.m. ,4/13/2019,10:02 a.m. ,Saturday,04/13/2019 10:41 a.m. ,Inactive 
Theft ,19-0142 ,Rayzor Hall ,04/14/2019 4:32 p.m. ,4/13/2019,8 p.m. ,Saturday,04/14/2019 8 a.m. ,Inactive 
Theft ,19-0144 ,Duncan College ,04/15/2019 3:13 p.m. ,4/12/2019,2 a.m. ,Friday,04/15/2019 10:58 a.m. ,Inactive 
Failure to Stop and Give Information ,19-0146 ,South Colleges Lot ,04/17/2019 6:43 a.m. ,4/17/2019,6:40 a.m. ,Wednesday,04/17/2019 7:13 a.m. ,Inactive 
Criminal Mischief ,19-0149 ,Rayzor Hall ,04/20/2019 10:26 a.m. ,4/20/2019,midnight ,Saturday,04/20/2019 10:26 a.m. ,Inactive 
Theft ,19-0151 ,Lovett College ,04/22/2019 9:04 p.m. ,4/23/2019,9:49 a.m. ,Tuesday,04/22/2019 9:40 p.m. ,Inactive 
Driving While License is Invalid ,19-0152 ,Entrance #20 ,04/23/2019 2:51 p.m. ,4/23/2019,2:51 p.m. ,Tuesday,04/23/2019 5 p.m. ,Criminal Arrest 
Failure to Identify ,19-0153 ,Brochstein Pavilion ,04/24/2019 2:13 p.m. ,4/24/2019,2:14 p.m. ,Wednesday,04/24/2019 2:34 p.m. ,Criminal Arrest 
Warrants ,19-0154 ,BRC ,04/24/2019 3:55 p.m. ,4/24/2019,3:55 p.m. ,Wednesday,04/24/2019 4:14 p.m. ,Criminal Arrest 
Failure to Stop and Give Information ,19-0157 ,West Lot ,04/26/2019 9:30 a.m. ,4/25/2019,6:30 a.m. ,Thursday,04/25/2019 3 p.m. ,Inactive 
Theft ,19-0158 ,Housing and Dining ,04/26/2019 3:14 p.m. ,11/1/2018,9 a.m. ,Thursday,11/01/2018 9 a.m. ,Inactive 
Harassment ,19-0161 ,Hanszen College ,04/29/2019 11:25 a.m. ,3/31/2019,midnight ,Sunday,05/01/2019 11:01 a.m. ,Cleared 
Warrants ,19-0162 ,BRC ,04/29/2019 4:18 p.m. ,4/29/2019,4:30 p.m. ,Monday,04/29/2019 4:30 p.m. ,Criminal Arrest 
Theft ,19-0163 ,Rice Village Apartments ,04/29/2019 7:25 p.m. ,4/28/2019,8 a.m. ,Sunday,04/29/2019 9 a.m. ,Inactive 
Fraud ,19-0165 ,Off Campus ,05/02/2019 2:32 p.m. ,4/12/2019,midnight ,Friday,05/01/2019 midnight ,Inactive 
Disorderly Conduct ,19-0166 ,BRC ,05/02/2019 4:46 p.m. ,5/2/2019,4:45 p.m. ,Thursday,05/02/2019 5:30 p.m. ,Cleared 
Failure to Stop and Give Information ,19-0167 ,BRC ,05/02/2019 5:06 p.m. ,5/2/2019,8 a.m. ,Thursday,05/02/2019 2:30 p.m. ,Inactive 
Theft ,19-0170 ,McMurtry College ,05/05/2019 8:06 p.m. ,5/3/2019,1:50 a.m. ,Friday,05/05/2019 10:14 p.m. ,Cleared 
Criminal Mischief ,19-0173 ,Rec Center ,05/07/2019 4:18 p.m. ,5/6/2019,3:45 p.m. ,Monday,05/06/2019 6:28 p.m. ,Inactive 
Theft ,19-0177 ,Will Rice College ,05/12/2019 6:29 p.m. ,5/9/2019,8 a.m. ,Thursday,05/12/2019 5:30 p.m. ,Inactive 
Theft ,19-0179 ,Wiess College ,05/13/2019 10:43 a.m. ,5/1/2019,midnight ,Wednesday,05/13/2019 11 a.m. ,Inactive 
Driving While License is Invalid ,19-0180 ,Off Campus ,05/13/2019 9:13 a.m. ,5/13/2019,9:13 a.m. ,Monday,05/13/2019 9:13 a.m. ,County Citiation 
Fraud ,19-0181 ,Will Rice College ,05/13/2019 5:56 p.m. ,5/11/2019,10 a.m. ,Saturday,05/13/2019 5 p.m. ,Inactive 
Warrants ,19-0183 ,Academic Quad ,05/14/2019 11:55 a.m. ,5/14/2019,11:55 a.m. ,Tuesday,05/14/2019 11:55 a.m. ,Criminal Arrest 
Warrants ,19-0185 ,West Lot ,05/14/2019 5:40 p.m. ,5/14/2019,5:40 p.m. ,Tuesday,05/14/2019 6:30 p.m. ,Criminal Arrest 
Assault ,19-0188 ,Mudd Lab ,05/17/2019 5:32 p.m. ,5/17/2019,5:25 p.m. ,Friday,05/17/2019 6:42 p.m. ,Inactive 
Warrants ,19-0190 ,South Colleges Lot ,05/20/2019 2:47 p.m. ,5/20/2019,2:47 p.m. ,Monday,05/20/2019 2:47 p.m. ,Criminal Arrest 
Theft ,19-0191 ,Geology ,05/23/2019 4:42 p.m. ,5/23/2019,noon ,Thursday,05/23/2019 2 p.m. ,Inactive 
Theft ,19-0193 ,BRC ,05/25/2019 3:06 p.m. ,5/23/2019,11 p.m. ,Thursday,05/25/2019 3:30 p.m. ,Inactive 
Theft ,19-0195 ,Duncan College ,05/28/2019 3:32 p.m. ,5/26/2019,7 p.m. ,Sunday,05/27/2019 11 a.m. ,Cleared 
Failure to Stop and Give Information ,19-0198 ,Facilities &amp; Engineering ,05/29/2019 10:56 a.m. ,5/28/2019,3:30 p.m. ,Tuesday,05/28/2019 10:56 a.m. ,Inactive 
