Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Fraud ,21-0124 ,Off Campus ,04/27/2021 12:06 p.m. ,4/24/2021,4:07 p.m. ,Saturday,04/24/2021 4:07 p.m. ,Inactive 
Sex Offenses (Forcible) (Clery) ,21-0125 ,Lovett College ,04/27/2021 1:13 p.m. ,4/8/2021,6:45 p.m. ,Thursday,04/08/2021 7:15 p.m. ,Active 
Criminal Trespass ,21-0126 ,Track Stadium ,04/27/2021 2:18 p.m. ,4/27/2021,2:18 p.m. ,Tuesday,04/27/2021 5:32 p.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,21-0127 ,BRC ,04/28/2021 9:12 a.m. ,4/27/2021,5 p.m. ,Tuesday,04/28/2021 9:12 a.m. ,Inactive 
Theft ,21-0129 ,Mechanical Engineering ,04/28/2021 6:47 p.m. ,4/28/2021,3:30 p.m. ,Wednesday,04/28/2021 6 p.m. ,Inactive 
Assault ,21-0131 ,Will Rice College ,04/30/2021 8:01 p.m. ,4/30/2021,5 p.m. ,Friday,04/30/2021 8 p.m. ,Criminal Arrest 
Theft ,21-0132 ,Fondren Library ,05/01/2021 1:55 p.m. ,4/30/2021,noon ,Friday,05/01/2021 1 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0133 ,Wiess College ,05/02/2021 12:46 p.m. ,5/2/2021,12:40 p.m. ,Sunday,05/02/2021 12:45 p.m. ,Inactive 
Theft ,21-0136 ,Facilities &amp; Engineering ,05/04/2021 5:17 p.m. ,5/3/2021,6:45 a.m. ,Monday,05/03/2021 8:22 a.m. ,Inactive 
Burglary of a Motor Vehicle ,21-0137 ,North Lot ,05/04/2021 4:23 p.m. ,4/9/2021,4 p.m. ,Friday,04/17/2021 2:42 a.m. ,Inactive 
Theft ,21-0138 ,Wiess College ,05/05/2021 1:04 p.m. ,5/1/2021,7 a.m. ,Saturday,05/01/2021 5 p.m. ,Inactive 
Criminal Mischief ,21-0139 ,Greenbriar Lot ,05/06/2021 11:24 a.m. ,5/5/2021,noon ,Wednesday,05/05/2021 1 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0140 ,Entrance #3 ,05/07/2021 12:06 a.m. ,5/6/2021,4 a.m. ,Thursday,05/07/2021 midnight ,Inactive 
Fraud ,21-0141 ,Off Campus ,05/07/2021 11:58 a.m. ,5/6/2021,8 p.m. ,Thursday,05/06/2021 8 p.m. ,Inactive 
Criminal Trespass ,21-0142 ,Duncan Hall ,05/07/2021 12:20 p.m. ,5/7/2021,9 a.m. ,Friday,05/07/2021 9 a.m. ,Inactive 
Theft from a Vehicle ,21-0143 ,Greenbriar Lot ,05/08/2021 4:56 p.m. ,5/7/2021,1 a.m. ,Friday,05/08/2021 4:56 p.m. ,Inactive 
Theft ,21-0144 ,Abercrombie ,05/10/2021 2:16 p.m. ,5/10/2021,2:10 p.m. ,Monday,05/10/2021 2:10 p.m. ,Inactive 
Criminal Trespass ,21-0147 ,Duncan Hall ,05/13/2021 1:22 p.m. ,5/13/2021,1:22 p.m. ,Thursday,05/13/2021 1:54 p.m. ,Criminal Arrest 
Theft ,21-0148 ,McMurtry College ,05/17/2021 1:40 p.m. ,11/23/2020,midnight ,Monday,02/28/2021 midnight ,Inactive 
